siteId,name,calory,carbo,protein,fat,fiber,activity1,activity2,activity3,activity4
0,,,,,,,,,,
8,جگر سیاه گوساله، خام,104,0,18.3,3.4,0,14,11,29,25
9,جگر سیاه گوسفند، خام,137,0,20.3,6.2,0,19,14,38,33
3,تخم مرغ آب پز,155,1.1,12.6,10.6,0,22,16,44,37
2,تخم مرغ سفیده خشک,295,0,73.7,0,0,41,31,83,71
1,تخم مرغ سفیده خام,52,0.7,11,0.2,0,7,5,14,12
10,جگر سیاه سرخ شده گوساله ,176,0,22.3,9.6,0,25,18,50,42
4,تخم مرغ نیمرو با روغن,191,0.7,11.7,15.4,0,27,20,54,46
12,جگر سیاه (به آرامی پخته ) گاو نر ,198,3,24.8,9.5,0,28,21,56,48
13,مرغ کامل، خام,201,0,19.1,13.8,0,28,21,57,49
7,جگر سیاه گاو نر، خام,155,0,21.1,7.8,0,22,16,44,37
6,سوسیس جگر سیاه,226,6,13.4,16.7,0.5,32,24,64,55
14,پوست مرغ، خام,474,0,9.7,48.3,0,67,50,134,115
11,جگر سیاه سرخ شده گوسفند ,237,0,30.1,12.9,0,33,25,67,57
15,جگر سیاه مرغ، خام,92,0,17.7,2.3,0,13,9,26,22
5,جگر سفید,92,0,16,3,0,13,9,26,22
17,سوپ خامه با مرغ,64,10.4,8.9,6.5,1,9,6,18,15
18,پای پخته مرغ,215,0.2,19,15,0,30,22,61,52
20,گوشت مرغ بریان شده با پوست,216,0,22.6,14,0,30,23,61,52
21,گوشت ران مرغ با پوست، خام,193,0,18.3,13.3,0,27,20,54,47
22,بال مرغ بریان شده با پوست,226,0,24.8,13,0,32,24,64,55
16,جگر سیاه سرخ شده مرغ,169,0,22.1,8.9,0,24,18,48,41
24,قطعات مکعبی عصاره مرغ، برند الیت,178,23.5,6.8,6.8,0,25,18,50,43
25,مرغ بریان شده با پوست,218,0,26.3,12.5,0,30,23,61,53
19,سینه مرغ،  سرخ شده,197,0.5,30,8,0,28,20,56,48
28,ران کامل مرغ بریان شده با پوست ,236,0,20.9,16.9,0,33,25,67,57
29,قطعات مرغ سرخ شده,259,0,26.9,16.8,0,36,27,73,63
23,ران مرغ بریان شده با پوست,185,0,25.8,9.1,0,26,19,52,45
26,مرغ کامل وزن شده با استخوان,131,0,12.4,9,0,18,13,37,31
31,مغز دانه آفتابگردان,582,24,19,50,11,82,62,165,141
27,مرغ در سس سفید تهیه شده با شیر,164,4.9,16.9,8.7,0.1,23,17,46,40
33,دل گوسفند، خام,119,0,17.1,5.6,0,16,12,33,29
30,شکلات مغزدار گردویی,278,34.1,3,31.9,0.2,39,29,79,67
34,دل گوسفند بریان شده,226,0,25.3,13.9,0,32,24,64,55
36,زبان کنسرو شده,213,0,16,16.5,0,30,22,60,51
37,زبان گوسفند، خام,193,0,15.3,14.6,0,27,20,54,47
38,زبان گوساله، خام,220,0,15.7,17.5,0,31,23,62,53
32,دل گاو نر، خام,104,0,18.2,3.5,0,14,11,29,25
35,زبان گوسفند به آرامی پخته,287,0,18.3,24,0,40,30,81,70
39,زبان گوساله به آرامی پخته,224,3.7,15,16,0,31,23,63,54
41,جگر، دل، سنگدان و گردن مرغ ، آب پز,156,0,22.9,7.1,0,22,16,44,38
40,جگر، دل، سنگدان و گردن مرغ، خام,142,0,17.1,8.2,0,20,15,40,34
45,قلوه گوسفند، خام,91,0,17,2.6,0,12,9,25,22
42,سوسیس سرخ شده,301,2,12,27,0,42,32,85,73
44,قلوه گاو، خام,88,0,17.2,2.1,0,12,9,25,21
46,قلوه سرخ شده گوسفند ,188,0,23.7,10.3,0,26,20,53,45
43,سیرابی خام,94,2,11.7,4,0,13,10,26,22
47,قلوه گاو نر، پخته,138,0,24.5,4.4,0,19,14,39,33
48,دل مرغ,185,0,26,8,0,26,19,52,45
50,تخم مرغ خشک,568,0,48.4,41.6,0,80,60,161,138
51,تخم مرغ زرده خام,339,0,16.1,30.5,0,48,36,96,82
49,سنگدان مرغ,140,0,22.9,7.1,0,19,14,39,34
54,تخم بوقلمون کامل، خام,165,0,13.7,12.2,0,23,17,46,40
57,بوقلمون گوشت با پوست بریان شده,171,0,28,6.5,0,24,18,48,41
53,بوقلمون کامل خام,133,0,21.6,5.2,0,18,14,37,32
58,بوقلمون کامل وزن شده با استخوان خام,93,0,15.1,3.6,0,13,9,26,22
52,تخم مرغ کامل خام,147,0,12.5,10.8,0,20,15,41,35
59,بوقلمون پوست بریان شده با حرارت خشک,481,0,29.9,40.2,0,68,51,136,117
60,بوقلمون پوست بریان شده با حرارت مرطوب,372,0,21.6,31.7,0,52,39,105,90
55,بوقلمون کامل بریان شده,190,0,30.9,7.4,0,27,20,54,46
56,بوقلمون فقط گوشت ران بریان شده,162,0,27.5,5.8,0,23,17,46,39
61,فیله بوقلمون کباب شده به روش گریل,155,0,35,1.7,0,22,16,44,37
63,سپر ماهی کباب شده به روش گریل,122,0,22.7,3.5,0,17,13,34,29
65,ماهی هادوک کباب شده به روش گریل,104,0,24.3,0.8,0,14,11,29,25
66,شمشیر ماهی کباب شده به روش گریل,139,0,22.9,5.2,0,19,14,39,33
67,ماهی ساردین کباب شده به روش گریل,195,0,25.3,10.4,0,27,20,55,47
68,ماهی آزاد نر کباب شده به روش گریل,255,0,20.1,19.4,0,36,27,72,62
69,ماهی هالیبوت کباب شده به روش گریل,121,0,25.3,2.2,0,17,12,34,29
62,کباب کوبیده,210,5,27,9,2,29,22,59,51
64,شاه ماهی کباب شده به روش گریل,181,0,20.1,11.2,0,25,19,51,44
71,ماهی مونک، کباب شده ,96,0,22.7,0.6,0,13,10,27,23
72,سوسیس گاو سرد کباب شده به روش گریل,278,13.1,13.3,19.5,0.8,39,29,79,67
73,مارماهی آب شور کباب شده به روش گریل,137,0,21.7,5.5,0,19,14,38,33
74,ماهی خال مخالی کباب شده به روش گریل,239,0,20.8,17.3,0,33,25,67,58
75,ماهی کاد منجمد کباب شده به روش گریل,95,0,20.8,1.3,0,13,10,27,23
70,ماهی چهارگوش کباب شده به روش گریل,79,0,18.9,0.5,0,11,8,22,19
76,ماهی آزاد (سالمون) کباب شده به روش گریل,215,0,24.2,13.1,0,30,22,61,52
77,,,,,,,,,,
78,شاه ماهی قرمز، کباب شده ,121,0,20.4,4.4,0,17,12,34,29
79,شاه ماهی خاکستری، کباب شده,150,0,25.7,5.2,0,21,15,42,36
80,ماهی قزل آلا، کباب شده,135,0,21.5,5.4,0,19,14,38,32
82,ماهی ساردین کباب شده با استخوان,119,0,15.4,6.3,0,16,12,33,29
81,ماهی هادوک کباب شده با استخوان,97,0,22.6,0.7,0,13,10,27,23
83,ماهی آزاد نر کباب شده با استخوان,161,0,12.7,12.2,0,22,17,45,39
84,ماهی چهارگوش کباب شده با استخوان,59,0,14,0.3,0,8,6,16,14
86,,,,,,,,,,
87,عصاره گوشت,179,3.2,40.4,0.6,0,25,19,50,43
90,گوشت گوزن، خام,103,0,22.2,1.6,0,14,10,29,25
91,گوشت گاو با چربی,332,0,14,30,0,47,35,94,80
85,ماهی مونک، کباب شده با استخوان,74,0,17.5,0.4,0,10,7,21,18
92,گوشت گاو بدون چربی,220,0,26,15,0,31,23,62,53
94,گوشت گوزن، بریان شده,165,0,35.6,2.5,0,23,17,46,40
88,گوشت گوساله,172,0,24,8,0,24,18,48,41
89,گوشت گوسفند,300,0,25,21,0,42,31,85,73
97,گوشت کبک بریان شده,212,0,36.7,7.2,0,30,22,60,51
98,گوشت چرخ کرده گوساله، خام,241,0,24,15,0,34,25,68,58
93,گوشت خرگوش، خام,137,0,21.9,5.5,0,19,14,38,33
99,کبوتر فقط گوشت بریان شده,187,0,29,7.9,0,26,19,53,45
95,گوشت چرخ کرده گاو، خام,225,0,19.7,16.2,0,31,23,63,54
100,گوشت مرغ، آب پز,183,0,29.2,7.3,0,26,19,52,44
96,گوشت غاز بریان شده,319,0,29.3,22.4,0,45,33,90,77
